source (gene ID) all genes,L_R_genes
ALOX5AP,1
ARF1,1
CALM1,1
GUCA1A,1
GUCA1B,1
ADCYAP1,1
AGT,1
APELA,1
C5,1
CCL13,1
CCL8,1
CGA,1
CLUL1,1
CSH1,1
CSHL1,1
CXCL17,1
GAST,1
GH2,1
GPR15LG,1
IFNB1,1
IL10,1
IL3,1
IL37,1
MANSC1,1
MSMB,1
NMU,1
NPY,1
PNOC,1
POMC,1
SPAG11B,1
SPX,1
SST,1
TAC1,1
VEGFA,1
VIP,1
WNT3A,1
WNT4,1
WNT5A,1
YARS1,1
CCL18,1
CXCL11,1
CXCL9,1
LEAP2,1
NPPA,1
NPPB,1
NPPC,1
SVEP1,1
ACE2,1
ACKR1,1
ACKR3,1
ACPT,1
ACVR2B,1
ACVRL1,1
ADAM10,1
ADAM15,1
ADAM17,1
ADAM2,1
ADAM20,1
ADAM21,1
ADGRA3,1
ADORA1,1
ADORA2A,1
ADRA1A,1
ADRA1B,1
ADRB2,1
AFDN,1
AGER,1
AGTR1,1
ALCAM,1
ANXA2,1
APC,1
APLP1,1
APP,1
AQPEP,1
ARRB2,1
ATP1B1,1
AXL,1
BICD1,1
BMPR1A,1
BMPR1B,1
BOC,1
BTK,1
BTLA,1
BTN2A1,1
BTN3A1,1
BTN3A2,1
BTN3A3,1
BTNL8,1
BTNL9,1
C10orf54,1
CA12,1
CA2,1
CADM1,1
CADM2,1
CADM3,1
CADM4,1
CARD11,1
CASP8,1
CAV1,1
CCR1,1
CCR2,1
CCR4,1
CD134L,1
CD14,1
CD19,1
CD1B,1
CD2,1
CD22,1
CD244,1
CD274,1
CD28,1
CD300A,1
CD300C,1
CD300LB,1
CD300LF,1
CD320,1
CD33,1
CD34,1
CD3D,1
CD4,1
CD44,1
CD47,1
CD48,1
CD5,1
CD58,1
CD6,1
CD63,1
CD69,1
CD7,1
CD72,1
CD74,1
CD79A,1
CD79B,1
CD80,1
CD81,1
CD9,1
CDC37,1
CDCP1,1
CDH13,1
CDH6,1
CDH9,1
CDHR2,1
CEACAM20,1
CEACAM21,1
CEACAM3,1
CEACAM4,1
CEACAM5,1
CEACAM6,1
CEACAM7,1
CEACAM8,1
CHL1,1
CISH,1
CLDN1,1
CLDN14,1
CLDN16,1
CLDN19,1
CLDN2,1
CLDN4,1
CLMP,1
CLU,1
CNTFR,1
CNTN1,1
CNTN2,1
CNTN5,1
CORIN,1
CPNE3,1
CR2,1
CRKL,1
CRTAM,1
CSF1R,1
CSF2RB,1
CSF3R,1
CTLA4,1
CTNNB1,1
CTTN,1
CXCR4,1
DAG1,1
DCC,1
DCLK3,1
DCN,1
DDR1,1
DDR2,1
DNAJA3,1
DRD2,1
DSC3,1
DSCAM,1
DSCAML1,1
DSG1,1
DYM,1
EDA,1
EDA2R,1
EDNRA,1
EDNRB,1
EFNA2,1
EFNB1,1
EFNB2,1
EFNB3,1
EGFR,1
ENG,1
EPCAM,1
EPHA1,1
EPHA2,1
EPHA3,1
EPHA5,1
EPHA7,1
EPHB6,1
EPN1,1
ERBB2,1
ERBB4,1
ESR1,1
F2RL1,1
F3,1
FAM126B,1
FAP,1
FCAMR,1
FCAR,1
FCER1A,1
FCGR1A,1
FCGR2A,1
FCGR3B,1
FCGRT,1
FCRL1,1
FCRL4,1
FGFR1,1
FGFR2,1
FGFR3,1
FGFR4,1
FGFRL1,1
FLNA,1
FLRT1,1
FLRT2,1
FLRT3,1
FLT1,1
FLT4,1
FZD7,1
GABRB2,1
GFAP,1
GFRA1,1
GGT1,1
GGT2,1
GHR,1
GLG1,1
GNA15,1
GNAI1,1
GNAI2,1
GNAI3,1
GNB1,1
GP1BA,1
GP1BB,1
GP5,1
GP6,1
GP9,1
GPC1,1
GPC4,1
GPC6,1
GPR26,1
GPR37,1
GRB7,1
GRM1,1
GUCY2D,1
HAVCR1,1
HBEGF,1
HHLA2,1
HLA-B,1
HLA-C,1
HLA-DRA,1
HLA-DRB1,1
HSP90AB1,1
HTR1B,1
HTR1D,1
HTR4,1
HTR6,1
ICAM1,1
ICAM5,1
ICOSLG,1
IFITM1,1
IFNAR1,1
IFNAR2,1
IFNGR1,1
IFNGR2,1
IGDCC3,1
IGDCC4,1
IGF1R,1
IGF2R,1
IGKV1-16,1
IGSF11,1
IGSF21,1
IGSF3,1
IL10RB,1
IL17RA,1
IL17RC,1
IL18R1,1
IL1R2,1
IL1RAPL1,1
IL1RAPL2,1
IL20RA,1
IL23R,1
IL2RA,1
IL2RB,1
IL2RG,1
IL4R,1
IL6R,1
IL6ST,1
IL7R,1
ILDR2,1
IRS4,1
ITGA1,1
ITGA2,1
ITGA2B,1
ITGA3,1
