source (gene ID),target (gene ID),LR_pair,is_stimulation,is_inhibition,interaction,evidence,data source
ALOX5AP,ALOX5,ALOX5AP_ALOX5,1.0,0.0,Activation,"PMID: 27592027,26396238; ","OmniPath,ITALK,NicheNet,CellTalkDB"
ARF1,PLD2,ARF1_PLD2,1.0,0.0,Activation,"PMID: 12519790, 10801846; PMID: 12519790","OmniPath,Dimitrov,ConnectomeDB,ITALK,LRdb,Ramilowski,NicheNet,CellTalkDB"
CALM1,MYLK,CALM1_MYLK,1.0,0.0,Activation,PMID: 23456740; PMID: 156362,"OmniPath,Dimitrov,ITALK,NicheNet,CellTalkDB"
CALM1,MYLK2,CALM1_MYLK2,1.0,0.0,Activation,PMID: 32196115; PMID: 156362,"OmniPath,Dimitrov,ITALK,NicheNet,CellTalkDB"
CALM1,PDE1A,CALM1_PDE1A,1.0,0.0,Activation,PMID: 23456740,"OmniPath,Dimitrov,ITALK,NicheNet,CellTalkDB"
CALM1,PDE1B,CALM1_PDE1B,1.0,0.0,Activation,,"OmniPath,Dimitrov,ITALK,NicheNet,CellTalkDB"
CALM1,PDE1C,CALM1_PDE1C,1.0,0.0,Activation,PMID: 8557689,"OmniPath,Dimitrov,ITALK,NicheNet,CellTalkDB"
GUCA1A,GUCY2D,GUCA1A_GUCY2D,1.0,0.0,Activation,,OmniPath
GUCA1A,GUCY2F,GUCA1A_GUCY2F,1.0,1.0,Activation,,OmniPath
GUCA1B,GUCY2D,GUCA1B_GUCY2D,1.0,0.0,Activation,,OmniPath
GUCA1B,GUCY2F,GUCA1B_GUCY2F,1.0,0.0,Activation,,OmniPath
ADCYAP1,VIPR1,ADCYAP1_VIPR1,1.0,0.0,Agonist,"PMID: 11897681, 9928018, 11931347, 16930633, 8791009, 12429744","Celllinker,OmniPath,Dimitrov,CellPhoneDB,ConnectomeDB,ITALK,LRdb,Ramilowski,NicheNet,CellTalkDB"
AGT,AGTR2,AGT_AGTR2,1.0,0.0,Agonist,"PMID: 8315512, 8185599, 17138938, 21464395, 2775266, 7850406, 8242249, 8185599","OmniPath,Dimitrov,CellPhoneDB,ConnectomeDB,ITALK,LRdb,Ramilowski,NicheNet,CellTalkDB"
APELA,APLNR,APELA_APLNR,1.0,0.0,Agonist,PMID: 25995451; PMID: 25995451,"Celllinker,OmniPath,Dimitrov,CellPhoneDB,CellChat,ConnectomeDB,CellTalkDB"
C5,C5AR2,C5_C5AR2,1.0,0.0,Agonist,"PMID: 11773063, 11773063, 12899627","OmniPath,Dimitrov,CellPhoneDB,ConnectomeDB,ITALK,LRdb,Ramilowski,NicheNet,CellTalkDB"
CCL13,CCR1,CCL13_CCR1,1.0,0.0,Agonist,KEGG: hsa04060,"Celllinker,OmniPath,Dimitrov,CellChat,ITALK,LRdb,Ramilowski,NicheNet,CellTalkDB"
CCL8,CCR8,CCL8_CCR8,1.0,0.0,Agonist,,"CellCall,OmniPath,NicheNet"
CGA,TSHR,CGA_TSHR,1.0,0.0,Agonist,KEGG: hsa04080; KEGG: hsa04080,"OmniPath,Dimitrov,CellPhoneDB,CellChat,ITALK,Ramilowski,NicheNet,CellTalkDB"
