"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
1,"VN1R3",5.7451,,,
2,"OAS1",4.481,-0.01,"NA","2'-5'-oligoadenylate synthetase 1"
3,"GDAP2",4.0728,-0.09,"NA","ganglioside induced differentiation associated protein 2"
4,"GP9",3.8552,-0.115,"NA","glycoprotein IX platelet"
5,"IFI44L",3.7432,-0.145,"NA","interferon induced protein 44 like"
6,"PTPN14",3.7432,0.22,"NA","protein tyrosine phosphatase non-receptor type 14"
7,"ME3",3.5867,0.055,"NA","malic enzyme 3"
8,"MRPL44",3.4617,-0.405,"NA","mitochondrial ribosomal protein L44"
9,"CACNA2D4",3.4422,0.045,"NA","calcium voltage-gated channel auxiliary subunit alpha2delta 4"
10,"ID3",3.4422,-0.065,"TF","inhibitor of DNA binding 3"
11,"TIGD4",3.3064,-0.125,"TF","tigger transposable element derived 4"
12,"COMMD2",3.2661,-0.125,"NA","COMM domain containing 2"
13,"RPLP1",3.1412,-1.215,"NA","ribosomal protein lateral stalk subunit P1"
14,"AFG3L2",3.1026,-1.055,"NA","AFG3 like matrix AAA peptidase subunit 2"
15,"TGS1",3.0443,-0.765,"NA","trimethylguanosine synthase 1"
16,"FOXC1",2.9651,0.055,"TF","forkhead box C1"
17,"PRAMEF9",2.9651,-0.535,"NA","PRAME family member 9"
18,"AKAP4",2.9393,0.02,"NA","A-kinase anchoring protein 4"
19,"C8B",2.8982,0.12,"NA","complement C8 beta chain"
20,"KHSRP",2.8982,-0.245,"TF","KH-type splicing regulatory protein"
21,"DELE1",2.8405,0,"NA","DAP3 binding cell death enhancer 1"
22,"CLDN3",2.8402,0.07,"NA","claudin 3"
23,"KCNJ3",2.8402,-0.135,"NA","potassium inwardly rectifying channel subfamily J member 3"
24,"TFEB",2.8075,-0.035,"TF","transcription factor EB"
25,"GALNT7",2.8033,0.16,"NA","polypeptide N-acetylgalactosaminyltransferase 7"
26,"RAB15",2.7891,-0.11,"NA","RAB15"
27,"SCGB1C2",2.7584,,,
28,"MAMDC4",2.7433,0.05,"NA","MAM domain containing 4"
29,"POU4F1",2.7433,0.04,"TF","POU class 4 homeobox 1"
30,"IGSF10",2.7194,-0.085,"NA","immunoglobulin superfamily member 10"
31,"FKBP9",2.7019,0.035,"NA","FKBP prolyl isomerase 9"
32,"SLC25A34",2.7019,-0.07,"NA","solute carrier family 25 member 34"
33,"SESN3",2.7006,0.04,"NA","sestrin 3"
34,"DSE",2.6653,0.12,"NA","dermatan sulfate epimerase"
35,"DENND6B",2.6642,0.035,"NA","DENN domain containing 6B"
36,"SRRM2",2.6642,-0.465,"NA","serine/arginine repetitive matrix 2"
37,"TMEM167A",2.6569,-0.41,"NA","transmembrane protein 167A"
38,"OR5H6",2.6394,0.1,"NA","olfactory receptor family 5 subfamily H member 6 (gene/pseudogene)"
