"Rank","Genes ranked in the direction 2","'-log10(RRA score)'","KO essential score","Brief feature","Description"
1,"TBC1D32",4.0015,0.04,"NA","TBC1 domain family member 32"
2,"ZSCAN30",3.8254,-0.03,"TF","zinc finger and SCAN domain containing 30"
3,"ATF2",3.7004,0.065,"TF","activating transcription factor 2"
4,"CLDN34",3.6035,,,
5,"FRG2B",3.5244,-0.095,"NA","FSHD region gene 2 family member B"
6,"CLSTN3",3.4574,-0.105,"NA","calsyntenin 3"
7,"LOX",3.3994,0.04,"NA","lysyl oxidase"
8,"OPLAH",3.3483,,,
9,"TBCC",3.3025,-0.85,"NA","tubulin folding cofactor C"
10,"APLN",3.2611,0.015,"NA","apelin"
11,"ARHGAP11A",3.1886,-0.325,"NA","Rho GTPase activating protein 11A"
12,"SLC16A10",3.1564,0,"NA","solute carrier family 16 member 10"
13,"ARHGEF11",3.1264,-0.195,"NA","Rho guanine nucleotide exchange factor 11"
14,"TMEM72",3.0984,0.05,"NA","transmembrane protein 72"
15,"EPN1",3.0721,0,"NA","epsin 1"
16,"COX7A2L",3.0238,0.01,"NA","cytochrome c oxidase subunit 7A2 like"
17,"MTMR10",3.0015,0.025,"NA","myotubularin related protein 10"
18,"LECT2",2.9803,0.12,"NA","leukocyte cell derived chemotaxin 2"
19,"LILRB5",2.9601,0.035,"NA","leukocyte immunoglobulin like receptor B5"
20,"SSTR2",2.9408,-0.09,"NA","somatostatin receptor 2"
21,"ASB17",2.9223,-0.095,"NA","ankyrin repeat and SOCS box containing 17"
22,"EBF4",2.9046,0.13,"TF","EBF family member 4"
23,"CWC15",2.8875,,,
24,"BMP1",2.8711,-0.085,"NA","bone morphogenetic protein 1"
25,"CNTNAP3",2.8553,-0.075,"NA","contactin associated protein family member 3"
26,"PRELID3B",2.8401,-1.425,"NA","PRELI domain containing 3B"
27,"PIMREG",2.8254,-0.14,"NA","PICALM interacting mitotic regulator"
28,"KLHL11",2.8111,-0.415,"NA","kelch like family member 11"
29,"RIN3",2.7974,-0.05,"NA","NA"
30,"MOB2",2.784,-0.04,"NA","MOB kinase activator 2"
31,"CWF19L2",2.7584,-0.61,"NA","CWF19 like cell cycle control factor 2"
32,"FCHSD2",2.7343,-0.06,"NA","FCH and double SH3 domains 2"
33,"RAB28",2.7227,-0.03,"NA","RAB28"
34,"KIR2DS4",2.7114,,,
35,"SERPINA3",2.7004,0.02,"NA","serpin family A member 3"
