id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Samhd1,4,8.8264e-07,3.1132e-06,0.064356,1,4,1.0,1.0,20654,0
Isca2,4,3.3431e-06,1.2692e-05,0.117162,2,4,0.98477,1.0,20104,0
Urm1,4,1.0044e-05,3.8077e-05,0.173267,3,4,0.99999,1.0,20653,0
BC052040,4,1.1126e-05,4.1909e-05,0.173267,4,4,0.99998,1.0,20651,0
Vmn2r95,4,1.4396e-05,5.6277e-05,0.193894,5,2,0.20007,0.977365,4127,2
Naa35,4,1.8987e-05,7.2562e-05,0.214286,6,2,0.35297,1.0,7108,1
SGR000122364.1_XPR003.1,1,1.8987e-05,1.7003e-05,0.117162,7,1,0.99998,1.0,20652,0
Rnf123,4,2.4697e-05,9.9383e-05,0.256807,8,2,0.46775,1.0,9416,1
Cox4i1,4,3.5547e-05,0.00013531,0.310781,9,3,0.80638,1.0,16156,0
Rtcb,4,4.3245e-05,0.00016644,0.344059,10,4,0.99995,1.0,20650,0
Nrsn1,4,5.9536e-05,0.00023014,0.382508,11,3,0.92163,1.0,18504,0
Pgm3,4,6.3705e-05,0.00025025,0.382508,12,4,0.99993,1.0,20649,0
Ccni,4,6.5197e-05,0.00025888,0.382508,13,3,0.9358,1.0,18825,0
Orc4,4,6.7291e-05,0.00026846,0.382508,14,3,0.12729,0.957053,2672,1
Pnpt1,4,6.9797e-05,0.00027756,0.382508,15,4,0.99993,1.0,20648,0
Rlf,4,8.6945e-05,0.00034221,0.416925,16,4,0.98546,1.0,20125,0
Atp1b3,4,0.00010365,0.0004131,0.416925,17,4,0.9998,1.0,20638,0
Dph6,4,0.00010395,0.0004131,0.416925,18,4,0.99989,1.0,20647,0
Bap1,4,0.00010411,0.00041358,0.416925,19,2,0.88553,1.0,17749,0
Eftud1,4,0.00010993,0.00043681,0.416925,20,4,0.99989,1.0,20646,0
Mettl14,4,0.0001197,0.00047776,0.416925,21,4,0.99988,1.0,20644,0
Smarcd3,4,0.0001197,0.00047776,0.416925,22,4,0.99988,1.0,20645,0
Plcxd1,4,0.00012657,0.00050266,0.416925,23,3,0.74547,1.0,14992,0
Ube2n,4,0.0001322,0.00052565,0.416925,24,4,0.99828,1.0,20557,0
Coa7,4,0.00013748,0.00054529,0.416925,25,4,0.97957,1.0,19952,0
Wdr45,4,0.00013757,0.00054577,0.416925,26,4,0.99359,1.0,20387,0
Rad9a,4,0.00013851,0.00055056,0.416925,27,4,0.99986,1.0,20643,0
Olfr111,4,0.00014454,0.00057547,0.416925,28,3,0.60246,1.0,12164,1
Fam13c,4,0.00015412,0.00060899,0.416925,29,4,0.99984,1.0,20642,0
Hivep3,4,0.00015959,0.00062911,0.416925,30,4,0.99984,1.0,20641,0
Zpr1,4,0.00016413,0.00064539,0.416925,31,4,0.99983,1.0,20639,0
Naa20,4,0.00016413,0.00064539,0.416925,32,4,0.99983,1.0,20640,0
Sirt7,4,0.0001772,0.00069042,0.420105,33,3,0.45733,1.0,9196,1
Ugt1a2,4,0.00017893,0.00069329,0.420105,34,4,0.94742,1.0,19100,0
Pigt,4,0.00018599,0.00071245,0.420105,35,3,0.53778,1.0,10881,1
Mars2,4,0.00019113,0.00073161,0.420105,36,4,0.9998,1.0,20637,0
Ppcs,4,0.00021722,0.00084129,0.470029,37,4,0.99977,1.0,20636,0
Erlin2,4,0.00022782,0.00088248,0.471313,38,4,0.99854,1.0,20569,0
Shfm1,4,0.00022919,0.00088918,0.471313,39,4,0.99976,1.0,20635,0
Mrps9,4,0.0002358,0.00091265,0.471658,40,3,0.35244,1.0,7097,1
4930590J08Rik,4,0.00026312,0.0010032,0.505796,41,2,0.8552,1.0,17109,0
4933427D14Rik,4,0.0002741,0.0010492,0.509901,42,3,0.83433,1.0,16715,0
Rnd1,4,0.00027844,0.0010606,0.509901,43,3,0.21575,0.983876,4433,1
Mrpl52,4,0.00029039,0.0011062,0.511946,44,4,0.99969,1.0,20634,0
Mettl1,4,0.0003002,0.0011392,0.511946,45,4,0.99969,1.0,20633,0
Trmt61a,4,0.00031221,0.0011866,0.521909,46,4,0.99968,1.0,20632,0
Rad51c,4,0.00032677,0.0012369,0.527076,47,3,0.99966,1.0,20631,0
Rpia,4,0.00032906,0.0012494,0.527076,48,3,0.15421,0.965476,3209,1
Crkl,4,0.00035787,0.0013557,0.542747,49,4,0.99963,1.0,20630,0
Sdha,4,0.00035787,0.0013557,0.542747,50,4,0.99963,1.0,20629,0
Prrc2b,4,0.00037161,0.0014146,0.542747,51,4,0.94954,1.0,19164,0
Il1a,4,0.00037968,0.0014424,0.542747,52,1,0.31909,1.0,6451,2
Lhx1,4,0.00038189,0.0014515,0.542747,53,3,0.29851,1.0,6049,1
Slc2a8,4,0.00038197,0.001452,0.542747,54,4,0.99961,1.0,20628,0
Klhdc7b,4,0.00039569,0.0014989,0.542747,55,3,0.67423,1.0,13557,1
