id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Olfr1151,4,1.9672e-06,5.987e-06,0.123762,1,4,1.0,1.0,1.0,20642,0
Defb35,4,2.5917e-05,0.00010226,0.886202,2,3,0.72726,0.72714,1.0,14987,0
Glis2,4,7.775e-05,0.0003106,0.886202,3,3,0.23846,0.30106,0.998845,6096,1
Ttc7b,4,8.797e-05,0.00034509,0.886202,4,4,0.95574,0.95562,1.0,19727,0
Prlh,4,0.00012958,0.00051512,0.886202,5,2,0.55552,0.55501,0.998845,11471,1
Tmem176a,4,0.00015824,0.0006248,0.886202,6,4,0.99984,0.99984,1.0,20641,0
Mterf1b,4,0.00015824,0.0006248,0.886202,7,4,0.99984,0.99984,1.0,20640,0
Rnf217,4,0.00017524,0.00068227,0.886202,8,4,0.9982,0.9982,1.0,20608,0
Treh,4,0.00018141,0.00070023,0.886202,9,1,0.53664,0.53665,0.998845,11074,1
Gpc5,4,0.00018796,0.00072011,0.886202,10,4,0.99981,0.99981,1.0,20639,0
Ntsr1,4,0.0001989,0.00076418,0.886202,11,3,0.24394,0.30472,0.998845,6184,1
Hmbox1,4,0.00023324,0.00090451,0.886202,12,2,0.57661,0.57619,0.999706,11914,0
Oat,4,0.00024134,0.00093085,0.886202,13,2,0.1342,0.2157,0.998845,4271,2
Dtx1,4,0.00024551,0.00094378,0.886202,14,4,0.99975,0.99975,1.0,20638,0
Pdpr,4,0.00027677,0.0010559,0.886202,15,2,0.37353,0.39723,0.998845,8173,1
Gprc6a,4,0.00028506,0.0010832,0.886202,16,2,0.10294,0.17184,0.998845,3433,2
C1ql2,4,0.00029415,0.001122,0.886202,17,4,0.99971,0.99969,1.0,20637,0
Wdr77,4,0.00031715,0.0012043,0.886202,18,4,0.99968,0.99967,1.0,20636,0
Olfr816,4,0.00033688,0.0012743,0.886202,19,3,0.90074,0.90068,1.0,18529,0
Cps1,4,0.00035444,0.0013413,0.886202,20,3,0.80391,0.80376,1.0,16547,0
Uba7,4,0.0003728,0.0014194,0.886202,21,3,0.5023,0.50455,0.998845,10418,1
Akap2,4,0.00038869,0.0014716,0.886202,22,4,0.99883,0.99883,1.0,20621,0
1700106J16Rik,4,0.00038869,0.0014716,0.886202,23,3,0.02559,0.06075,0.998845,1191,1
Cngb1,4,0.00038871,0.0014716,0.886202,24,1,0.68572,0.68566,1.0,14120,0
SGR000122284.1_XPR003.1,1,0.00039524,0.00039921,0.886202,25,1,0.9996,0.99963,1.0,20635,0
Ngef,4,0.00041452,0.0015607,0.886202,26,3,0.87758,0.87745,1.0,18040,0
Tbc1d9,4,0.00041459,0.0015607,0.886202,27,4,0.99653,0.99652,1.0,20575,0
Hcls1,4,0.00044052,0.0016526,0.886202,28,2,0.093055,0.15803,0.998845,3173,1
Comtd1,4,0.0004416,0.001656,0.886202,29,3,0.52384,0.52455,0.998845,10824,1
Itm2a,4,0.0004416,0.001656,0.886202,30,3,0.83115,0.83107,1.0,17099,0
Xlr4b,4,0.0004559,0.0017173,0.886202,31,4,0.99954,0.99953,1.0,20634,0
Stag3,4,0.00049159,0.0018413,0.886202,32,4,0.99951,0.9995,1.0,20633,0
Nkx6-2,4,0.00049234,0.0018437,0.886202,33,2,0.79707,0.7969,1.0,16414,0
Tmod3,4,0.00050913,0.0018969,0.886202,34,4,0.98124,0.98117,1.0,20253,0
Vapa,4,0.00050913,0.0018969,0.886202,35,3,0.92489,0.92495,1.0,19039,0
Klrb1a,4,0.00050913,0.0018969,0.886202,36,3,0.0061541,0.017082,0.998845,326,1
Tm4sf4,4,0.00052718,0.0019745,0.886202,37,4,0.99947,0.99947,1.0,20632,0
Serpinb8,4,0.00053742,0.0020075,0.886202,38,3,0.78802,0.78786,1.0,16239,0
Ankef1,4,0.00054034,0.00202,0.886202,39,3,0.31987,0.35733,0.998845,7328,1
Rph3a,4,0.00054416,0.0020291,0.886202,40,2,0.92489,0.92495,1.0,19037,0
Armc8,4,0.00054516,0.0020334,0.886202,41,4,0.99945,0.99945,1.0,20631,0
Aoah,4,0.00055427,0.0020693,0.886202,42,4,0.99683,0.99683,1.0,20579,0
Fam196a,4,0.00055715,0.0020837,0.886202,43,1,0.46003,0.46743,0.998845,9630,0
Gm4858,4,0.00056539,0.0021235,0.886202,44,4,0.99157,0.99157,1.0,20479,0
Myo5b,4,0.00056754,0.002133,0.886202,45,4,0.97666,0.97674,1.0,20148,0
Ifi204,4,0.00059597,0.002224,0.886202,46,3,0.86434,0.86415,1.0,17795,0
Aldh1a3,4,0.00060883,0.0022734,0.886202,47,4,0.96698,0.96687,1.0,19946,0
Papd7,4,0.00062653,0.0023342,0.886202,48,4,0.98727,0.98721,1.0,20379,0
Vmn2r22,4,0.00064132,0.0023835,0.886202,49,2,0.59665,0.59642,1.0,12276,0
Got1l1,4,0.00064548,0.0023984,0.886202,50,2,0.48387,0.48808,0.998845,10059,1
D3Ertd751e,4,0.00064799,0.0024084,0.886202,51,4,0.9417,0.94163,1.0,19417,0
Zfp276,4,0.00064946,0.0024137,0.886202,52,3,0.66935,0.66929,1.0,13766,0
Prrx1,4,0.00067368,0.0024961,0.886202,53,2,0.023018,0.056937,0.998845,1098,2
Ric8b,4,0.00067368,0.0024961,0.886202,54,2,0.48595,0.48992,0.998845,10091,1
Mrps2,4,0.00069159,0.0025655,0.886202,55,4,0.98124,0.98117,1.0,20248,0
Slc6a20b,4,0.00069276,0.0025708,0.886202,56,3,0.8355,0.83539,1.0,17182,0
Arhgap9,4,0.00071437,0.0026553,0.886202,57,3,0.96038,0.96026,1.0,19805,0
Cdkn2b,4,0.0007514,0.0027763,0.886202,58,2,0.58552,0.58525,1.0,12078,0
Lrig2,4,0.00078493,0.0028903,0.886202,59,4,0.99922,0.99922,1.0,20630,0
Hace1,4,0.00078572,0.0028941,0.886202,60,3,0.13397,0.21537,0.998845,4261,1
Kptn,4,0.0008032,0.002953,0.886202,61,3,0.91264,0.91253,1.0,18800,0
Cep135,4,0.00080989,0.0029731,0.886202,62,4,0.99919,0.99919,1.0,20629,0
Akap9,4,0.00081149,0.0029774,0.886202,63,3,0.9229,0.92295,1.0,19004,0
Zfp954,4,0.0008159,0.0029937,0.886202,64,3,0.772,0.77184,1.0,15912,0
Cish,4,0.00084096,0.0030909,0.886202,65,3,0.61125,0.61102,1.0,12572,0
Zfp59,4,0.00084096,0.0030909,0.886202,66,3,0.92219,0.92224,1.0,18985,0
Lgals1,4,0.00086646,0.0031834,0.886202,67,2,0.99913,0.99914,1.0,20628,0
Sec63,4,0.00086971,0.0031963,0.886202,68,4,0.99913,0.99914,1.0,20627,0
Rin3,4,0.00090148,0.0033031,0.886202,69,3,0.93445,0.9344,1.0,19260,0
Scyl2,4,0.00090148,0.0033031,0.886202,70,4,0.99891,0.99891,1.0,20623,0
Oprm1,4,0.00090148,0.0033031,0.886202,71,4,0.99899,0.99899,1.0,20625,0
Rasal3,4,0.0009068,0.0033199,0.886202,72,1,0.10346,0.17261,0.998845,3444,1
Atoh8,4,0.00091325,0.0033438,0.886202,73,3,0.83243,0.83233,1.0,17127,0
Cox6b1,4,0.00095693,0.0035009,0.890546,74,3,0.8711,0.87092,1.0,17925,0
Cr1l,4,0.0009586,0.00351,0.890546,75,3,0.8509,0.85067,1.0,17494,0
Gm6406,4,0.00096374,0.0035244,0.890546,76,4,0.99904,0.99904,1.0,20626,0
Wbp1,4,0.00098474,0.0035986,0.896278,77,3,0.3281,0.36319,0.998845,7447,1
Fggy,4,0.0010104,0.0036849,0.906825,78,3,0.79334,0.7932,1.0,16342,0
Lgmn,4,0.001044,0.0038094,0.908786,79,2,0.50076,0.50313,0.998845,10385,1
Cep85,4,0.0010456,0.0038194,0.908786,80,4,0.99895,0.99895,1.0,20624,0
Slc35e3,4,0.0010478,0.0038247,0.908786,81,3,0.22099,0.28967,0.998845,5863,1
Cd226,4,0.0010622,0.0038798,0.911397,82,2,0.16441,0.25382,0.998845,5064,1
Asah1,4,0.0010864,0.0039741,0.920535,83,4,0.99891,0.99891,1.0,20622,0
Ucn2,4,0.0011004,0.0040268,0.920535,84,2,0.20525,0.27949,0.998845,5621,1
Rptn,4,0.0011444,0.0041801,0.920535,85,4,0.9802,0.9802,1.0,20227,0
Dlgap1,4,0.0011444,0.0041801,0.920535,86,3,0.87345,0.87329,1.0,17954,0
Rara,4,0.0011658,0.0042553,0.920535,87,2,0.44838,0.45745,0.998845,9432,1
Slc4a4,4,0.0011736,0.0042835,0.920535,88,3,0.33049,0.36496,0.998845,7484,1
Tbx15,4,0.0011853,0.0043271,0.920535,89,2,0.85653,0.85635,1.0,17622,0
Cachd1,4,0.0012151,0.004433,0.920535,90,4,0.99878,0.99878,1.0,20620,0
Slc39a6,4,0.0012167,0.0044378,0.920535,91,3,0.18672,0.26777,0.998845,5384,1
Olfr1226,4,0.0012167,0.0044378,0.920535,92,4,0.97189,0.97189,1.0,20048,0
Mbip,4,0.0012176,0.0044411,0.920535,93,3,0.80028,0.80013,1.0,16474,0
Tnni3k,4,0.0012694,0.0046155,0.920535,94,2,0.20094,0.27676,0.998845,5568,1
Dph7,4,0.0012829,0.0046634,0.920535,95,2,0.66911,0.66905,1.0,13763,0
Prss39,4,0.0012924,0.0046964,0.920535,96,3,0.6906,0.69048,1.0,14243,0
Gpr156,4,0.0012924,0.0046964,0.920535,97,3,0.8703,0.87011,1.0,17900,0
Dffa,4,0.0013017,0.004729,0.920535,98,2,0.8711,0.87092,1.0,17910,0
Ube2ql1,4,0.0013018,0.0047295,0.920535,99,3,0.98234,0.98228,1.0,20276,0
Armc9,4,0.0013211,0.0047984,0.920535,100,2,0.5027,0.50489,0.998845,10426,1
Lce1f,4,0.0013436,0.0048693,0.920535,101,3,0.90132,0.90127,1.0,18543,0
Abca14,4,0.0013506,0.0048971,0.920535,102,4,0.99865,0.99863,1.0,20619,0
Olfr742,4,0.0013988,0.0050757,0.920535,103,2,0.35104,0.38015,0.998845,7793,1
Dcaf12l2,4,0.0013988,0.0050757,0.920535,104,2,0.80624,0.8061,1.0,16620,0
Amy2a2,4,0.001414,0.0051265,0.920535,105,3,0.67091,0.67085,1.0,13800,0
Stk31,4,0.0014433,0.0052204,0.920535,106,2,0.44072,0.45107,0.998845,9298,1
