id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
CST2,4,7.5452e-06,3.2737e-05,0.226733,1,4,0.99999,0.99999,1.0,20103,0
PPEF2,4,8.772e-06,4.0122e-05,0.226733,2,4,0.99999,0.99999,1.0,20102,0
EBAG9,4,1.2838e-05,5.6368e-05,0.226733,3,4,0.99999,0.99998,1.0,20099,0
LCE2A,4,1.2838e-05,5.6368e-05,0.226733,4,4,0.99999,0.99998,1.0,20100,0
MYL4,4,1.2838e-05,5.6368e-05,0.226733,5,4,0.99999,0.99998,1.0,20101,0
POLA1,4,1.7669e-05,7.8028e-05,0.261551,6,4,0.99998,0.99998,1.0,20098,0
TMEM132A,4,6.311e-05,0.0002587,0.44802,7,4,0.99994,0.99994,1.0,20097,0
ADCY4,4,7.0054e-05,0.00028479,0.44802,8,3,0.15321,0.17346,0.985705,3467,1
TMEM178A,4,7.0054e-05,0.00028479,0.44802,9,4,0.98771,0.98772,1.0,19746,0
CHMP4C,4,7.0054e-05,0.00028479,0.44802,10,3,0.63922,0.63911,0.985939,13013,0
HNRNPU,4,7.9154e-05,0.00031974,0.44802,11,4,0.99992,0.99992,1.0,20095,0
BUB1,4,7.9154e-05,0.00031974,0.44802,12,4,0.99992,0.99992,1.0,20096,0
ZNF792,4,8.9392e-05,0.00035667,0.44802,13,3,0.99991,0.99992,1.0,20094,0
WNT3,4,9.1392e-05,0.00036307,0.44802,14,3,0.019446,0.037249,0.981503,744,1
RPL3,4,9.9617e-05,0.00039211,0.44802,15,4,0.9999,0.9999,1.0,20093,0
HEY1,4,9.9617e-05,0.00039211,0.44802,16,4,0.9999,0.9999,1.0,20092,0
ALPI,4,9.9617e-05,0.00039211,0.44802,17,4,0.9999,0.9999,1.0,20091,0
GAL3ST3,4,0.0001085,0.0004182,0.44802,18,4,0.99989,0.99989,1.0,20090,0
SLCO5A1,4,0.00011334,0.00044134,0.44802,19,3,0.58909,0.58882,0.985705,12013,0
DDX5,4,0.00014226,0.00055604,0.44802,20,4,0.99986,0.99986,1.0,20089,0
CC2D2B,4,0.00014226,0.00055604,0.44802,21,4,0.99986,0.99986,1.0,20088,0
ERLIN1,4,0.00014522,0.00056835,0.44802,22,4,0.9835,0.98362,1.0,19654,0
TMEM165,4,0.00016683,0.00064515,0.44802,23,2,0.73722,0.73751,0.989886,14965,0
OSGIN1,4,0.00016683,0.00064515,0.44802,24,4,0.96093,0.96117,1.0,19208,0
F8A2,4,0.00016683,0.00064515,0.44802,25,3,0.93645,0.9367,1.0,18740,0
MPHOSPH9,4,0.00016741,0.00064712,0.44802,26,4,0.99983,0.99984,1.0,20087,0
FANCF,4,0.00017028,0.00065696,0.44802,27,2,0.65708,0.65697,0.985939,13395,0
DDX60,4,0.00018351,0.00070915,0.44802,28,4,0.99977,0.99979,1.0,20081,0
GAREML,4,0.00018351,0.00070915,0.44802,29,4,0.99596,0.99598,1.0,19941,0
VPS37D,4,0.00018351,0.00070915,0.44802,30,4,0.99669,0.99672,1.0,19960,0
COPS2,4,0.00018351,0.00070915,0.44802,31,3,0.8368,0.8371,0.995896,16903,0
CCDC138,4,0.00019631,0.00075739,0.44802,32,4,0.9998,0.99981,1.0,20085,0
APOL6,4,0.00019631,0.00075739,0.44802,33,4,0.9998,0.99981,1.0,20086,0
BPGM,4,0.00019631,0.00075739,0.44802,34,4,0.9998,0.99981,1.0,20084,0
SPCS3,4,0.00021184,0.00080761,0.450749,35,4,0.99979,0.9998,1.0,20083,0
CD14,4,0.00022789,0.00086422,0.450749,36,4,0.99977,0.99979,1.0,20080,0
CSPG4,4,0.00022789,0.00086422,0.450749,37,4,0.99977,0.99979,1.0,20082,0
DHRS4,4,0.00023081,0.00087407,0.450749,38,4,0.99823,0.99825,1.0,20026,0
FUT7,4,0.00023081,0.00087407,0.450749,39,3,0.74944,0.7497,0.989886,15221,0
VPS45,4,0.00026443,0.00099665,0.48359,40,4,0.99974,0.99975,1.0,20079,0
R3HDM2,4,0.00028277,0.00107,0.48359,41,4,0.99972,0.99973,1.0,20077,0
MPLKIP,4,0.00028277,0.00107,0.48359,42,4,0.99972,0.99973,1.0,20078,0
STRN,4,0.00028379,0.0010739,0.48359,43,3,0.32408,0.32421,0.985705,6551,1
TMC4,4,0.00028379,0.0010739,0.48359,44,3,0.83849,0.83878,0.995896,16932,0
GTF3A,4,0.00030319,0.0011522,0.48359,45,4,0.9997,0.99971,1.0,20076,0
DNAJC9,4,0.00032395,0.0012197,0.48359,46,4,0.99968,0.99968,1.0,20072,0
SFT2D3,4,0.00032395,0.0012197,0.48359,47,4,0.99968,0.99968,1.0,20073,0
SERTAD1,4,0.00032395,0.0012197,0.48359,48,4,0.99968,0.99968,1.0,20075,0
CIRH1A,4,0.00032395,0.0012197,0.48359,49,4,0.99968,0.99968,1.0,20074,0
USP17L22,4,0.00033885,0.0012763,0.48359,50,3,0.44586,0.44559,0.985705,9017,0
CHAF1A,4,0.00033885,0.0012763,0.48359,51,3,0.67378,0.67362,0.986669,13731,0
TPSG1,4,0.00033885,0.0012763,0.48359,52,3,0.36691,0.36649,0.985705,7420,0
LSS,4,0.00034558,0.0012984,0.48359,53,3,0.71705,0.71715,0.987696,14603,0
USP17L26,4,0.00034558,0.0012984,0.48359,54,4,0.98752,0.98753,1.0,19740,0
YWHAE,4,0.00036842,0.00139,0.508281,55,4,0.99963,0.99964,1.0,20071,0
LIMS2,4,0.00041835,0.001579,0.527952,56,4,0.98099,0.98115,1.0,19598,0
ADGRA2,4,0.00041835,0.001579,0.527952,57,3,0.2753,0.27837,0.985705,5640,1
HES7,4,0.0004446,0.0016824,0.527952,58,4,0.99956,0.99956,1.0,20069,0
RSPH6A,4,0.0004446,0.0016824,0.527952,59,4,0.99956,0.99956,1.0,20070,0
PLXDC1,4,0.00047362,0.001805,0.527952,60,4,0.99953,0.99953,1.0,20068,0
RBCK1,4,0.00047362,0.001805,0.527952,61,4,0.99953,0.99953,1.0,20067,0
RPL10,4,0.00049328,0.0018798,0.527952,62,3,0.65232,0.65222,0.985939,13284,0
