id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Olfr1337,4,1.8804e-05,7.1604e-05,0.660272,1,3,0.1071,0.23352,0.982644,4885,1
Mrpl38,4,2.523e-05,9.2199e-05,0.660272,2,4,0.98182,0.98127,0.999686,20220,0
Pcdha3,4,3.3738e-05,0.00012142,0.660272,3,4,0.99997,0.99933,0.999686,20659,0
Dcaf12,4,4.3773e-05,0.00014872,0.660272,4,2,0.62307,0.75211,0.999686,15484,1
Fstl4,4,5.1032e-05,0.00017362,0.660272,5,4,0.99995,0.99932,0.999686,20658,0
Olfr884,4,6.4254e-05,0.00021194,0.660272,6,4,0.96998,0.96934,0.999686,19955,0
Snph,4,7.0781e-05,0.00023541,0.660272,7,4,0.99993,0.9993,0.999686,20657,0
Olfr90,4,7.5688e-05,0.00025552,0.660272,8,2,0.078348,0.18703,0.982644,3915,2
Tnfrsf14,4,8.5875e-05,0.00028809,0.661716,9,4,0.99991,0.99928,0.999686,20656,0
Ctla2a,4,0.0001005,0.00034509,0.713366,10,4,0.9999,0.99927,0.999686,20655,0
Txndc11,4,0.00011299,0.00038772,0.728623,11,2,0.016922,0.052411,0.962674,1111,2
Gm4894,4,0.00012614,0.00044375,0.740314,12,1,0.25957,0.45306,0.994069,9394,2
Olfr1045,4,0.00014098,0.00050027,0.740314,13,3,0.01293,0.040955,0.962674,866,1
Mcat,4,0.00015595,0.00056206,0.740314,14,4,0.99984,0.99921,0.999686,20654,0
Klrb1c,4,0.0001585,0.00057163,0.740314,15,4,0.99984,0.99921,0.999686,20653,0
Pds5a,4,0.00016057,0.00058073,0.740314,16,4,0.99882,0.99819,0.999686,20627,0
Aifm1,4,0.0001766,0.00064013,0.740314,17,4,0.99372,0.99303,0.999686,20509,0
Gpr153,4,0.00020959,0.00075843,0.740314,18,4,0.99979,0.99916,0.999686,20652,0
Poc1a,4,0.00023173,0.00084368,0.740314,19,4,0.99977,0.99913,0.999686,20651,0
Nrep,4,0.00024042,0.00087002,0.740314,20,3,0.9177,0.91721,0.999686,18850,1
Rangap1,4,0.0002574,0.00093708,0.740314,21,3,0.81196,0.84258,0.999686,17312,1
Ids,4,0.0002775,0.0010151,0.740314,22,3,0.25739,0.45019,0.994069,9332,1
Clca3b,4,0.00027992,0.0010223,0.740314,23,4,0.99972,0.99908,0.999686,20650,0
Ss18l1,4,0.0002805,0.0010238,0.740314,24,4,0.99576,0.99512,0.999686,20564,0
Pcdha12,4,0.00029303,0.0010645,0.740314,25,4,0.99971,0.99907,0.999686,20649,0
Vmn1r170,4,0.00031816,0.0011555,0.740314,26,3,0.33042,0.51507,0.994069,10676,1
1600015I10Rik,4,0.0003187,0.0011564,0.740314,27,3,0.7704,0.82138,0.999686,16877,1
Vmn2r86,4,0.00032632,0.0011866,0.740314,28,3,0.65999,0.77516,0.999686,15934,1
Prps1,4,0.00032795,0.0011938,0.740314,29,3,0.5271,0.67328,0.99901,13918,1
Cbr2,4,0.00033927,0.0012292,0.740314,30,4,0.98374,0.98323,0.999686,20262,0
Olfr1217,4,0.00035338,0.0012795,0.740314,31,2,0.90377,0.90448,0.999686,18594,1
Mpv17,4,0.00035493,0.0012858,0.740314,32,4,0.99965,0.99901,0.999686,20648,0
Atg10,4,0.00037201,0.0013437,0.740314,33,4,0.99913,0.99852,0.999686,20636,0
Mvb12a,4,0.00037839,0.0013681,0.740314,34,2,0.47732,0.63306,0.99901,13067,2
Snrpd1,4,0.00038099,0.0013792,0.740314,35,4,0.99962,0.99898,0.999686,20647,0
Fastkd2,4,0.00038341,0.0013883,0.740314,36,4,0.99962,0.99898,0.999686,20646,0
