id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Ado,4,1.0,1.0,0.999999,20672,0,8.3818e-07,3.1132e-06,0.064356,1,4
Gm13287,2,0.99999,0.99999,0.999999,20668,0,7.3573e-06,1.5566e-05,0.094059,6,2
Spata2,4,1.0,0.99999,0.999999,20671,0,4.5581e-06,1.7482e-05,0.094059,2,4
Tnfrsf1a,4,0.99999,0.99999,0.999999,20670,0,5.3257e-06,2.0356e-05,0.094059,3,4
Olfr1200,4,0.51111,0.66144,0.984919,13324,1,7.1302e-06,2.8019e-05,0.094059,5,3
Casp8,4,0.99999,0.99999,0.999999,20669,0,7.1061e-06,2.8019e-05,0.094059,4,4
Smg9,4,0.99999,0.99999,0.999999,20667,0,8.1475e-06,3.1851e-05,0.094059,7,4
Ptgfr,4,0.99998,0.99998,0.999999,20666,0,1.7787e-05,6.9209e-05,0.178837,8,4
Capza2,4,0.58474,0.72668,0.997295,14634,1,2.5115e-05,9.9862e-05,0.206436,9,3
Prss8,4,0.9964,0.99638,0.999999,20570,0,2.5224e-05,9.9862e-05,0.206436,10,4
Gja3,4,0.84278,0.85182,0.997295,17390,1,4.4404e-05,0.00016979,0.286068,11,3
Fmo5,4,0.99995,0.99995,0.999999,20665,0,4.534e-05,0.00017314,0.286068,12,4
Khsrp,4,0.99985,0.99985,0.999999,20661,0,5.0947e-05,0.00019374,0.286068,14,4
Sqstm1,4,0.99995,0.99995,0.999999,20664,0,5.0908e-05,0.00019374,0.286068,13,4
Olfr1447,4,0.99993,0.99993,0.999999,20663,0,6.9331e-05,0.0002766,0.357983,15,4
Tcerg1l,4,0.99993,0.99993,0.999999,20662,0,6.956e-05,0.00027708,0.357983,16,4
Asb10,4,0.23266,0.42259,0.984919,8581,2,8.7854e-05,0.00034461,0.400715,17,2
Dctn2,4,0.68966,0.76878,0.997295,15584,1,8.9005e-05,0.00034892,0.400715,18,3
Trmt10a,4,0.055516,0.14476,0.933384,3121,1,0.00015,0.00059462,0.625269,19,2
Foxc1,4,0.99984,0.99983,0.999999,20660,0,0.00016348,0.00064348,0.625269,20,4
Uchl1,4,0.11069,0.24019,0.957468,5001,2,0.00017579,0.00068563,0.625269,21,1
Pnma3,4,0.94106,0.94098,0.999999,19307,0,0.0001765,0.00068754,0.625269,22,3
Katnal1,4,0.99982,0.99982,0.999999,20659,0,0.0001797,0.00069568,0.625269,23,4
Gabrp,4,0.99979,0.99978,0.999999,20658,0,0.00020967,0.0008092,0.634736,24,4
Pde11a,4,0.80461,0.82682,0.997295,16863,1,0.00022602,0.00087434,0.634736,25,1
Olig1,4,0.99976,0.99975,0.999999,20657,0,0.00023777,0.00091792,0.634736,26,4
Fadd,4,0.99976,0.99975,0.999999,20656,0,0.00024222,0.00093373,0.634736,27,4
Gcnt3,4,0.98562,0.98557,0.999999,20309,0,0.00025916,0.00098976,0.634736,28,4
Igfbp4,4,0.022571,0.07111,0.874705,1504,3,0.00027624,0.0010559,0.634736,29,1
Por,4,0.99972,0.99971,0.999999,20655,0,0.00027755,0.0010583,0.634736,30,4
Mtfr1l,4,0.041409,0.11881,0.927143,2528,2,0.00028102,0.0010688,0.634736,31,2
Stc1,4,0.99417,0.99417,0.999999,20511,0,0.00029082,0.0011076,0.634736,32,4
Gabrb3,4,0.9997,0.99968,0.999999,20654,0,0.00030342,0.0011545,0.634736,33,4
Figla,4,0.32496,0.50077,0.984919,10093,1,0.00031521,0.0011972,0.634736,34,2
Foxl2,4,0.17659,0.34477,0.957468,7012,2,0.00032646,0.0012355,0.634736,35,2
SGR000122279.1_XPR003.1,1,0.99873,0.99875,0.999999,20633,0,0.0012746,0.0012637,0.634736,119,1
