id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Olfr1337,4,1.8166e-06,5.508e-06,0.113861,1,3,0.87615,0.88834,0.999686,18214,1
Prl,4,2.523e-05,9.4594e-05,0.570259,2,2,0.46974,0.6362,0.998923,13151,2
Sncg,4,3.1014e-05,0.00011567,0.570259,3,3,0.75356,0.82749,0.999686,16970,1
Clcn1,4,4.2432e-05,0.00014776,0.570259,4,3,0.59795,0.73445,0.999686,15084,1
Mrpl38,4,7.5688e-05,0.00026654,0.570259,5,2,0.51753,0.67274,0.999686,13844,2
Wfdc6b,4,9.5266e-05,0.00033072,0.570259,6,4,0.99923,0.99862,0.999686,20642,0
1700084C01Rik,4,0.00010814,0.00037718,0.570259,7,2,0.60596,0.74084,0.999686,15222,2
Idh2,4,0.00011704,0.00041693,0.570259,8,4,0.99789,0.99727,0.999686,20603,0
Vmn1r34,4,0.00011737,0.00041837,0.570259,9,4,0.99988,0.99925,0.999686,20659,0
Zar1l,4,0.00012539,0.0004495,0.570259,10,4,0.99865,0.99804,0.999686,20624,0
Psmb3,4,0.00012614,0.0004519,0.570259,11,2,0.75015,0.82618,0.999686,16934,1
Ntpcr,4,0.00012746,0.000461,0.570259,12,2,0.15269,0.30706,0.989518,6365,2
Rab8a,4,0.00013759,0.00049596,0.570259,13,3,0.91527,0.91648,0.999686,18816,1
Cyp2j9,4,0.00013814,0.00049692,0.570259,14,4,0.99986,0.99923,0.999686,20658,0
Hps4,4,0.00013859,0.00049788,0.570259,15,4,0.99986,0.99923,0.999686,20657,0
Psmd14,4,0.00014124,0.00050602,0.570259,16,3,0.67139,0.7929,0.999686,16279,1
Saa3,4,0.000158,0.00057451,0.570259,17,4,0.99984,0.99922,0.999686,20656,0
Isca2,4,0.00016844,0.00061139,0.570259,18,3,0.055498,0.15241,0.979031,3217,1
Tfcp2l1,4,0.0001766,0.00063486,0.570259,19,1,0.12891,0.27201,0.987115,5693,2
Olfr1222,4,0.00017895,0.00064587,0.570259,20,2,0.34601,0.54324,0.996996,11232,2
